x, y, z
-0.739799, -1.100825, -1.032661
-0.768472, -1.176571, -1.049154
-0.805236, -1.187604, -1.015747
-0.725997, -1.119585, -0.975434
-0.636051, -1.068570, -0.960457
-0.629626, -1.091345, -0.918707
-0.731619, -1.077908, -0.765324
-0.792855, -0.884725, -0.772357
-0.716711, -0.556732, -0.869185
-0.629086, -0.249702, -0.941806
-0.487073, 0.102640, -1.026789
-0.456858, 0.336380, -1.044750
-0.479972, 0.633754, -0.951409
-0.436273, 0.902562, -0.988215
-0.403499, 1.073650, -1.183666
-0.302624, 1.400330, -1.391290
-0.272745, 1.492753, -1.470713
-0.235076, 1.501034, -1.606575
-0.237342, 1.476728, -1.540625
-0.208524, 1.336428, -1.613232
-0.232687, 1.261720, -1.713464
-0.342362, 1.114137, -1.712344
-0.455136, 0.759309, -1.757281
-0.478681, 0.401635, -1.653654
-0.557375, 0.057086, -1.484381
-0.631654, -0.292879, -1.433720
-0.672105, -0.372247, -1.441501
-0.656667, -0.599620, -1.401560
-0.660347, -0.770150, -1.371605
-0.663107, -0.867529, -1.318621
-0.680435, -0.955823, -1.111036
-0.678173, -0.823678, -0.924830
-0.691735, -0.800864, -0.922504
-0.717166, -0.646425, -0.966536
-0.705721, -0.316972, -1.060596
-0.697137, -0.161435, -0.978552
-0.675441, 0.016253, -0.794949
-0.567616, 0.378401, -0.779317
-0.471488, 0.527941, -0.935440
-0.353616, 0.731649, -1.083050
-0.310989, 0.914948, -1.086946
-0.340053, 0.884575, -1.013574
-0.361851, 0.800760, -0.912768
-0.378200, 0.783676, -0.882940
-0.390461, 0.740345, -1.074193
-0.414916, 0.646811, -1.187114
-0.433258, 0.530885, -1.302323
-0.462272, 0.123505, -1.358212
-0.499292, -0.136253, -1.445905
-0.557575, -0.331071, -1.389605
-0.586028, -0.583997, -1.469450
-0.561591, -0.788950, -1.544592
-0.543264, -0.896888, -1.509396
-0.651588, -1.115171, -1.528776
-0.778608, -1.233107, -1.283911
-0.767062, -1.123194, -1.054486
-0.636331, -1.101795, -1.004488
-0.538284, -0.841605, -0.829660
-0.495265, -0.631204, -0.866385
-0.554555, -0.442885, -0.832894
-0.553245, -0.118541, -0.700965
-0.491228, 0.124717, -0.663053
-0.383680, 0.520784, -0.832983
-0.348795, 0.848352, -0.960431
-0.307373, 1.109286, -1.132310
