x, y, z
-0.244141, -0.671387, -1.037598
-0.366211, -1.525879, -1.098633
-0.549316, -1.098633, -0.610352
-0.732422, -1.403809, 0.122070
-0.671387, -1.098633, -0.427246
-0.305176, -1.098633, -0.732422
-0.366211, -0.305176, -0.793457
-0.671387, -0.061035, -0.366211
-0.549316, 0.000000, -0.366211
0.061035, -0.427246, -0.549316
0.000000, 0.488281, -0.427246
0.000000, 0.854492, -0.976562
-0.305176, 0.549316, -1.464844
-0.488281, 1.586914, -1.220703
-0.427246, 0.915527, -0.976562
15.563965, 0.671387, -1.037598
0.061035, 1.953125, -1.342773
-0.244141, 0.732422, -1.647949
0.000000, 1.342773, -1.342773
-0.305176, 1.647949, -1.464844
-0.183105, 0.854492, -1.281738
-0.183105, 0.671387, -0.976562
-0.610352, 0.488281, -1.098633
-0.488281, 0.000000, -1.708984
-0.427246, -0.366211, -1.770020
-0.305176, -0.305176, -2.136230
-0.366211, -0.854492, -2.258301
-0.549316, -0.366211, -0.793457
-1.037598, -0.610352, -0.610352
-0.427246, -1.159668, -1.403809
-0.610352, -0.244141, -1.647949
-0.793457, -0.183105, -1.159668
-0.549316, -0.305176, -0.854492
-0.305176, 0.122070, -0.183105
-0.366211, 0.061035, -0.122070
0.061035, 0.732422, -0.732422
-0.427246, 1.159668, -0.610352
0.061035, 1.098633, -0.610352
-0.122070, 0.671387, -0.915527
-0.122070, 1.037598, -0.427246
-0.183105, 1.525879, -0.915527
-0.305176, 1.831055, -0.976562
0.061035, 1.525879, -1.220703
0.122070, 0.610352, -1.464844
-0.244141, 0.549316, -1.342773
-0.183105, 0.244141, -1.037598
-0.732422, 0.366211, -1.342773
-0.671387, 0.305176, -1.586914
-0.427246, -0.671387, -1.403809
-0.122070, -0.427246, -1.892090
-0.549316, -0.610352, -1.159668
-0.732422, -0.671387, -0.854492
-0.671387, -1.159668, -0.915527
-0.671387, -0.915527, -1.159668
-0.671387, -0.915527, -1.281738
-0.854492, -0.793457, -0.549316
-0.488281, 0.183105, -0.549316
-0.061035, -0.366211, -0.610352
-0.244141, -0.427246, -0.183105
-0.488281, 0.366211, -0.976562
-0.427246, 0.549316, -0.732422
-0.061035, 1.098633, -0.671387
-0.122070, 1.281738, -1.037598
-0.061035, 1.342773, -0.854492
-0.549316, 1.342773, -0.671387
-0.122070, 1.586914, -1.037598
-0.061035, 1.586914, -1.525879
-0.061035, 1.525879, -1.464844
-0.488281, 0.793457, -1.831055
-0.732422, 0.671387, -1.037598
-0.366211, 0.915527, -1.037598
-0.305176, 0.610352, -1.647949
-0.427246, 0.244141, -1.464844
-0.366211, 0.061035, -1.770020
-0.854492, -0.732422, -1.220703
-0.915527, -0.976562, -0.793457
-0.671387, -1.403809, -0.610352
-0.915527, -0.793457, -0.732422
-0.610352, -1.220703, -0.915527
-0.549316, -1.403809, -1.037598
-0.549316, -1.220703, -0.915527
-0.610352, -1.220703, -0.488281
-0.610352, -0.610352, -0.488281
-0.732422, -0.183105, -0.793457
-0.488281, 15.502930, -1.037598
0.061035, 0.244141, -0.732422
-0.488281, 0.305176, -0.732422
-0.183105, 0.305176, -0.732422
-0.610352, 0.549316, -0.305176
-0.061035, 1.464844, -0.366211
0.244141, 1.525879, -1.098633
0.244141, 1.586914, -1.159668
0.244141, 1.647949, -1.403809
-0.488281, 1.159668, -0.854492
-0.549316, 1.159668, -0.305176
-0.183105, 0.854492, -0.610352
-0.305176, 0.305176, -1.525879
-0.366211, 0.366211, -2.075195
-0.671387, 0.610352, -1.464844
-0.671387, -0.305176, -1.464844
-0.915527, -1.098633, -1.098633
-0.549316, -0.427246, -1.586914
-0.488281, -0.915527, -1.831055
-0.488281, -0.671387, -1.098633
-0.366211, -1.037598, -1.159668
-0.549316, -0.976562, -0.793457
-0.793457, -0.549316, -0.366211
-0.732422, -0.671387, -0.793457
-0.671387, 0.122070, -0.671387
-0.549316, 0.061035, -0.549316
-0.244141, -0.061035, -0.671387
-0.122070, 0.427246, -0.671387
-0.671387, 0.732422, 0.244141
-0.366211, 1.342773, -0.305176
0.122070, 1.159668, -1.098633
0.000000, 1.220703, -1.403809
-0.061035, 1.403809, -1.586914
